System_Name,Locale,State / Union Territory,Lines Operational,Stations,Operational_length_kms,UnderConstruction_Length_Kms,Planned_length,Operator(s),Opened,Annual Ridership (in millions)
Agra Metro,Agra,Uttar Pradesh,1,6,6,24.47,0,UPMRC,6-Mar-24,
Ahmedabad Metro,"Ahmedabad, Gandhinagar, GIFT City",Gujarat,4,47,60.06,8.92,7.41,GMRC,4-Mar-19,? 40.06
Chennai Metro,Chennai,Tamil Nadu,2,42,54.1,118.9,90.16,CMRL,29-Jun-15,? 105.24
Delhi Metro,Delhi NCR,Delhi,10,257,395,65.2,53.281,DMRC,24-Dec-02,"? 2,032.3"
Hyderabad Metro,Hyderabad,Telangana,3,57,69,,162.5,HMRL,29-Nov-17,? 178
Indore Metro,Indore,Madhya Pradesh,1,5,6,31.23,124,MPMRCL,31-May-25,
Jaipur Metro,Jaipur,Rajasthan,1,11,11.98,2.85,26.36,JMRC,3-Jun-15,? 20.05
Kanpur Metro,Kanpur,Uttar Pradesh,1,14,16,15.05,8.6,UPMRC,28-Dec-21,? 11.06
Kochi Metro,Kochi,Kerala,1,25,28.38,11.2,59.16,KMRL,17-Jun-17,? 36.52
Kolkata Metro,Kolkata (greater),West Bengal,5,58,74.42,30.8,28.79,"Metro Railway, KolkataKMRC",24-Oct-84,? 218.1
Lucknow Metro,Lucknow,Uttar Pradesh,1,21,22.87,,85,UPMRC,5-Sep-17,? 31.15
Mumbai Metro,Mumbai Metropolitan Region,Maharashtra,4,59,68.93,132.45,138.94,MMOPLMMMOCLMMRC,8-Jun-14,? 273.75
Nagpur Metro,Nagpur,Maharashtra,2,37,38.22,43,48.3,Maha Metro,8-Mar-19,? 33.88
Namma Metro,Bengaluru,Karnataka,3,85,96.1,79.44,79.8,BMRCL,20-Oct-11,? 278.54
Navi Mumbai Metro,Mumbai Metropolitan Region,Maharashtra,1,11,11.1,,95.3,CIDCOMaha Metro,17-Nov-23,? 0.935
Noida Metro,Noida,Uttar Pradesh,1,21,29.7,,84.95,DMRC / NMRC,25-Jan-19,? 22.03
Pune Metro,Pune,Maharashtra,2,29,33.63,45.95,115,Maha Metro,6-Mar-22,? 45.72
Rapid Metro Gurgaon,Gurgaon,Haryana,1,11,12.83,,188,DMRC,14-Nov-13,? 14.6
Total,,,43,775,1038.8,471.65,1380.269,,,
